time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
982		Gussow asks for the check.	Environment
1160	1185	A fan interrupts to tell Walker how much she values her story "To Hell With Dying".	Environment
